,Movie Title,Review,Number of RT Reviews,Year,movie_ID,movie_title,year,genres,avg_rating,numVotes,directorID,director_name
136,Apocalypse Now Redux,93%,82,2001,,,,,,,,
137,Amélie,89%,178,2001,tt0211915,Amélie,2001,"Comedy,Romance",8.3,644540.0,nm0000466,Jean-Pierre Jeunet
138,Shrek,88%,204,2001,tt0126029,Shrek,2001,"Adventure,Animation,Comedy",7.9,555141.0,"nm0421776,nm0011470",
139,Dogtown and Z-Boys,92%,96,2001,tt0275309,Dogtown and Z-Boys,2001,"Documentary,Sport",7.7,11355.0,nm0672769,Stacy Peralta
140,Startup.com,92%,93,2001,tt0256408,Startup.com,2001,Documentary,7.1,3138.0,"nm0373698,nm0636675",
141,The Circle (Dayereh),93%,60,2001,,,,,,,,
142,Mostly Martha (Bella Martha),92%,85,2001,,,,,,,,
143,In the Mood for Love,90%,125,2001,,,,,,,,
144,The Gleaners and I,93%,40,2001,,,,,,,,
145,Millennium Actress (Sennen joyû),92%,52,2001,,,,,,,,
146,Iron Monkey,90%,93,2001,,,,,,,,
147,Our Song,91%,54,2001,,,,,,,,
148,Together,90%,80,2001,,,,,,,,
149,Kandahar: Le soleil derrière la lune,89%,98,2001,,,,,,,,
150,Dinner Rush,91%,45,2001,,,,,,,,
151,Eureka,91%,43,2001,,,,,,,,
152,Divided We Fall,90%,61,2001,,,,,,,,
153,The Road Home (Wo de fu qin mu qin),89%,80,2001,,,,,,,,
154,Gosford Park,86%,158,2001,tt0280707,Gosford Park,2001,"Comedy,Drama,Mystery",7.3,72860.0,nm0000265,Robert Altman
155,Life And Debt,90%,42,2001,,,,,,,,
156,Donnie Darko,87%,115,2001,tt0246578,Donnie Darko,2001,"Drama,Sci-Fi,Thriller",8.1,691454.0,nm0446819,Richard Kelly
157,Donnie Darko,87%,115,2001,tt0512166,Donnie Darko,2001,Documentary,7.8,12.0,\N,
158,Trembling Before G-d,89%,61,2001,tt0278102,Trembling Before G-d,2001,Documentary,7.1,872.0,nm0239552,Sandi Simcha Dubowski
159,Italian for Beginners,88%,85,2001,,,,,,,,
160,Ginger Snaps,89%,57,2001,,,,,,,,
161,101 Reykjavik,89%,46,2001,,,,,,,,
162,Comment j'ai tué mon père (My Father and I),89%,44,2001,,,,,,,,
163,Roozi ke zan shodam (The Day I Became a Woman),88%,57,2001,,,,,,,,
164,Mulholland Drive,83%,173,2001,,,,,,,,
165,La Cienaga,88%,40,2001,,,,,,,,
166,The Others,83%,161,2001,tt0230600,The Others,2001,"Horror,Mystery,Thriller",7.6,311015.0,nm0024622,Alejandro Amenábar
167,Va Savoir,86%,77,2001,,,,,,,,
168,Calle 54,87%,47,2001,,,,,,,,
169,Nowhere in Africa (Nirgendwo in Afrika),85%,99,2001,,,,,,,,
170,Faithless,86%,70,2001,,,,,,,,
171,Ocean's Eleven,82%,172,2001,tt0240772,Ocean's Eleven,2001,"Crime,Thriller",7.8,469830.0,nm0001752,Steven Soderbergh
172,Harry Potter and the Sorcerer's Stone,81%,195,2001,tt0241527,Harry Potter and the Sorcerer's Stone,2001,"Adventure,Family,Fantasy",7.6,562856.0,nm0001060,Chris Columbus
173,Harry Potter and the Sorcerer's Stone,81%,195,2001,tt0304142,Harry Potter and the Sorcerer's Stone,2001,"Action,Adventure,Fantasy",7.3,973.0,\N,
174,Harry Potter and the Sorcerer's Stone,81%,195,2001,tt0594851,Harry Potter and the Sorcerer's Stone,2001,"Documentary,Short",7.3,12.0,\N,
175,The Closet (Le Placard),85%,80,2001,,,,,,,,
176,Thirteen Conversations About One Thing,83%,114,2001,tt0268690,Thirteen Conversations About One Thing,2001,Drama,7.1,9153.0,nm0819613,Jill Sprecher
177,Rain,85%,59,2001,tt0276437,Rain,2001,"Action,Drama,Romance",5.6,291.0,nm0511379,Katherine Lindberg
178,Rain,85%,59,2001,tt0287645,Rain,2001,"Drama,Romance",7.0,1500.0,nm0420422,Christine Jeffs
179,Rain,85%,59,2001,tt0296823,Rain,2001,"Romance,Short",8.5,12.0,nm0593617,Monice Mitchell
180,Bridget Jones's Diary,81%,159,2001,tt0243155,Bridget Jones's Diary,2001,"Comedy,Drama,Romance",6.7,204411.0,nm0536632,Sharon Maguire
181,The Man Who Wasn't There,81%,157,2001,tt0243133,The Man Who Wasn't There,2001,"Crime,Drama",7.6,96701.0,"nm0001054,nm0001053",
182,The Deep End,82%,117,2001,tt0250323,The Deep End,2001,"Crime,Drama,Mystery",6.6,10514.0,"nm0796915,nm0569166",
183,L.I.E.,83%,84,2001,tt0242587,L.I.E.,2001,"Crime,Drama",7.2,9171.0,nm0191147,Michael Cuesta
184,Ni na bian ji dian (What Time Is It Over There?),84%,51,2001,,,,,,,,
185,Little Otik,84%,43,2001,,,,,,,,
186,Waking Life,80%,142,2001,tt0243017,Waking Life,2001,"Animation,Drama,Fantasy",7.8,56592.0,nm0000500,Richard Linklater
187,Innocence,81%,75,2001,,,,,,,,
188,Moulin Rouge!,76%,198,2001,tt0203009,Moulin Rouge!,2001,"Drama,Musical,Romance",7.6,250332.0,nm0525303,Baz Luhrmann
189,The Business of Strangers,80%,92,2001,tt0270259,The Business of Strangers,2001,"Drama,Thriller",6.4,3542.0,nm0828099,Patrick Stettner
190,Diamond Men,81%,63,2001,,,,,,,,
191,Iris,79%,110,2001,tt0280778,Iris,2001,"Biography,Drama,Romance",7.1,16102.0,nm0264236,Richard Eyre
192,Lumumba,81%,57,2001,,,,,,,,
193,Jump Tomorrow,81%,54,2001,tt0273300,Jump Tomorrow,2001,"Comedy,Drama,Romance",7.2,1312.0,nm0394199,Joel Hopkins
194,The Pledge,78%,124,2001,tt0237572,The Pledge,2001,"Crime,Drama,Mystery",6.8,49359.0,nm0000576,Sean Penn
195,Black Hawk Down,76%,171,2001,tt0265086,Black Hawk Down,2001,"Drama,History,War",7.7,336432.0,nm0000631,Ridley Scott
196,A Beautiful Mind,74%,211,2001,tt0268978,A Beautiful Mind,2001,"Biography,Drama",8.2,761520.0,nm0000165,Ron Howard
197,Tape,78%,98,2001,tt0275719,Tape,2001,Drama,7.3,17543.0,nm0000500,Richard Linklater
198,The Tailor of Panama,77%,116,2001,tt0236784,The Tailor of Panama,2001,"Comedy,Drama,Thriller",6.2,26228.0,nm0000958,John Boorman
199,A.I. Artificial Intelligence,73%,192,2001,tt0212720,A.I. Artificial Intelligence,2001,"Adventure,Drama,Sci-Fi",7.1,272330.0,nm0000229,Steven Spielberg
200,Our Lady of the Assassins,77%,61,2001,,,,,,,,
201,The Cat's Meow,74%,125,2001,tt0266391,The Cat's Meow,2001,"Drama,Romance",6.4,7311.0,nm0000953,Peter Bogdanovich
202,Snatch,73%,141,2001,,,,,,,,
203,Joy Ride,74%,114,2001,tt0206314,Joy Ride,2001,"Mystery,Thriller",6.6,59742.0,nm0001093,John Dahl
204,Training Day,72%,158,2001,tt0139654,Training Day,2001,"Crime,Drama,Thriller",7.7,353562.0,nm0298807,Antoine Fuqua
205,The Score,73%,128,2001,tt0227445,The Score,2001,"Crime,Drama,Thriller",6.8,112483.0,nm0000568,Frank Oz
206,Jimmy Neutron - Boy Genius,75%,75,2001,,,,,,,,
207,Brotherhood of the Wolf,73%,120,2001,tt0237534,Brotherhood of the Wolf,2001,"Action,Adventure,Drama",7.1,58314.0,nm0304521,Christophe Gans
208,Buffalo Soldiers,73%,115,2001,tt0252299,Buffalo Soldiers,2001,"Comedy,Crime,Drama",6.8,22147.0,nm0429964,Gregor Jordan
209,Songcatcher,74%,88,2001,,,,,,,,
210,Me You Them,75%,55,2001,,,,,,,,
211,Tortilla Soup,74%,72,2001,tt0255653,Tortilla Soup,2001,"Comedy,Drama,Romance",6.6,3877.0,nm0728048,Maria Ripoll
212,Before Night Falls,73%,98,2001,,,,,,,,
213,The Piano Teacher (La Pianiste),73%,86,2001,,,,,,,,
214,Fat Girl,73%,86,2001,tt0243255,Fat Girl,2001,Drama,6.5,9514.0,nm0106924,Catherine Breillat
215,Behind the Sun,74%,46,2001,tt0291003,Behind the Sun,2001,Drama,7.7,6308.0,nm0758574,Walter Salles
216,Made,71%,107,2001,tt0227005,Made,2001,"Comedy,Crime,Drama",6.4,16237.0,nm0269463,Jon Favreau
217,Chopper,72%,67,2001,tt0294446,Chopper,2001,"Animation,Short",7.0,107.0,nm0220615,Bernard Derriman
218,Baby Boy,71%,92,2001,tt0255819,Baby Boy,2001,"Crime,Drama,Romance",6.4,11440.0,nm0005436,John Singleton
219,Das Experiment (The Experiment),72%,65,2001,,,,,,,,
220,Legally Blonde,69%,142,2001,tt0250494,Legally Blonde,2001,"Comedy,Romance",6.3,162452.0,nm0525659,Robert Luketic
221,The Lord of the Rings: The Two Towers,95%,250,2002,tt0167261,The Lord of the Rings: The Two Towers,2002,"Adventure,Drama,Fantasy",8.7,1330921.0,nm0001392,Peter Jackson
222,The Lord of the Rings: The Two Towers,95%,250,2002,tt0347436,The Lord of the Rings: The Two Towers,2002,"Action,Adventure,Fantasy",8.3,2360.0,\N,
223,Spirited Away,97%,183,2002,,,,,,,,
224,Spellbound,97%,139,2002,tt0334405,Spellbound,2002,"Comedy,Documentary,Thriller",7.6,11579.0,nm0998825,Jeffrey Blitz
225,Catch Me If You Can,95%,198,2002,tt0264464,Catch Me If You Can,2002,"Biography,Crime,Drama",8.1,706395.0,nm0000229,Steven Spielberg
226,Catch Me If You Can,95%,198,2002,tt0594821,Catch Me If You Can,2002,"Documentary,Short",4.7,23.0,\N,
227,Rivers and Tides: Andy Goldsworthy Working With Time,99%,71,2002,,,,,,,,
228,The Man Without a Past,98%,98,2002,tt0311519,The Man Without a Past,2002,"Comedy,Drama,Romance",7.7,20248.0,nm0442454,Aki Kaurismäki
229,The Pianist,95%,181,2002,tt0253474,The Pianist,2002,"Biography,Drama,Music",8.5,631417.0,nm0000591,Roman Polanski
