,Title,Director,Release Date,Revenue,Writers,Rotten Tomatoes Review,Number of RT Reviews,Release Year,Genres,Average IMDB Rating,Number of IMDB Votes,Popularity,Average TMDB Rating,Number of TMDB Votes,Release Month,director0,director0,director0,director_0
271,Tigerland,['Joel Schumacher'],"Oct 6, 2000","

                                101 minutes
                            
","['Michael McGruther', 'Ross Klavan', 'Ross Klaven']",76%,46.0,2000.0,"Drama,War",7.0,36078.0,6.809,6.7,245.0,9.0,['Joel Schumacher'],['Joel Schumacher'],['Joel Schumacher'],['Joel Schumacher']
273,Sunshine,['Danny Boyle'],"Jul 27, 2007","$3,700,000",['Alex Garland'],74%,65.0,2000.0,,,,9.233,7.0,1853.0,4.0,['Danny Boyle'],['Danny Boyle'],['Danny Boyle'],['Danny Boyle']
293,My Dog Skip,['Jay Russell'],"Mar 3, 2000","

                                95 minutes
                            
",['Gail Gilchriest'],73%,82.0,2000.0,"Comedy,Drama,Family",7.1,18219.0,6.379,6.6,126.0,1.0,['Jay Russell'],['Jay Russell'],['Jay Russell'],['Jay Russell']
294,The Big Kahuna,['John Swanbeck'],"Apr 28, 2000","

                                90 minutes
                            
","['Roger Reuff', 'Roger Rueff']",73%,78.0,2000.0,,,,5.716,6.9,161.0,4.0,['John Swanbeck'],['John Swanbeck'],['John Swanbeck'],['John Swanbeck']
295,Code Unknown,['Michael Haneke'],"Jan 1, 2000","

                                118 minutes
                            
",['Michael Haneke'],,,,,,,5.617,7.0,92.0,5.0,['Michael Haneke'],['Michael Haneke'],['Michael Haneke'],['Michael Haneke']
296,Unbreakable,['M. Night Shyamalan'],"Nov 22, 2000","$95,000,000",['M. Night Shyamalan'],69%,167.0,2000.0,"Drama,Mystery,Sci-Fi",7.3,340377.0,21.865,7.1,4601.0,11.0,['M. Night Shyamalan'],['M. Night Shyamalan'],['M. Night Shyamalan'],['M. Night Shyamalan']
312,Frequency,['Gregory Hoblit'],"Apr 28, 2000","

                                121 minutes
                            
",['Toby Emmerich'],70%,124.0,2000.0,"Crime,Drama,Mystery",7.4,93859.0,8.78,7.1,768.0,4.0,['Gregory Hoblit'],['Gregory Hoblit'],['Gregory Hoblit'],['Gregory Hoblit']
324,American Psycho,['Mary Harron'],"Apr 14, 2000","

                                97 minutes
                            
","['Mary Harron', 'Guinevere Turner']",68%,144.0,2000.0,"Crime,Drama",7.6,425083.0,11.521,7.3,3911.0,4.0,['Mary Harron'],['Mary Harron'],['Mary Harron'],['Mary Harron']
332,Keeping the Faith,['Edward Norton'],"Apr 14, 2000","

                                127 minutes
                            
",['Stuart Blumberg'],69%,115.0,2000.0,"Comedy,Drama,Romance",6.4,47702.0,6.659,6.0,282.0,4.0,['Edward Norton'],['Edward Norton'],['Edward Norton'],['Edward Norton']
335,Shadow Magic,['Ann Hu'],"Oct 1, 2000","

                                112 minutes
                            
",['Ann Hu'],71%,49.0,2000.0,"Drama,History,Romance",7.2,703.0,0.696,6.0,2.0,9.0,['Ann Hu'],['Ann Hu'],['Ann Hu'],['Ann Hu']
